,COD_ID,DIST,CLAS_TEN,ELO_FSV,MEI_ISO,FAS_CON,COR_NOM,ODI,TI,CM,TUC,A1,A2,A3,A4,A5,A6,IDUC,SITCONT,DAT_IMO,ABER_CRG,DESCR,TIP_INST,UN_SE,UAR,GRU_TEN
0,746,401,4,LAM,SE,B,35,6,40,999,160,01,15,37,01,01,01,474,AT1,31/08/2021,1, ,RD_AER_URB,1CS_147,160-14,MT
1,747,401,4,LAM,SE,C,35,6,40,999,160,01,15,37,01,01,01,474,AT1,31/08/2021,1, ,RD_AER_URB,1CS_147,160-14,MT
2,748,401,4,30K,SE,A,12,6,40,999,160,03,15,10,03,01,01, ,COM,02/09/2021,1, ,RD_AER_URB,1CF_155,160-14,MT
3,749,401,4,30K,SE,B,12,6,40,999,160,03,15,10,03,01,01, ,COM,02/09/2021,1, ,RD_AER_URB,1CF_155,160-14,MT
4,8,401,4,LAM,SE,B,27,6,40,999,160,01,15,25,01,01,01,18,AT1,01/10/2021,1, ,RD_AER_URB,1CS_139,160-14,MT
5,9,401,4,LAM,SE,C,27,6,40,999,160,01,15,25,01,01,01,18,AT1,01/10/2021,1, ,RD_AER_URB,1CS_139,160-14,MT
6,754,401,4,LAM,SE,A,35,6,40,999,160,01,15,37,01,01,01,474,AT1,30/09/2021,1, ,RD_AER_URB,1CS_139,160-14,MT
7,751,401,4,15K,SE,A,24,6,40,999,160,03,15,22,03,01,01, ,COM,04/10/2021,1, ,RD_AER_URB,1CF_27,160-14,MT
8,752,401,4,15K,SE,B,24,6,40,999,160,03,15,22,03,01,01, ,COM,04/10/2021,1, ,RD_AER_URB,1CF_27,160-14,MT
9,753,401,4,15K,SE,C,24,6,40,999,160,03,15,22,01,01,01, ,COM,04/10/2021,1, ,RD_AER_URB,1CF_27,160-14,MT
