,UNI_TR_MT,UNI_TR_AT,TIP_INST,ODI,TI,CM,SITCONT,COD_ID,PN_CON_1,PN_CON_2,DIST,PAC_1,PAC_2,CTMT,FAS_CON,SUB,CONJ,TIP_CND,POS,COMP,DESCR,ARE_LOC
0,2_507,1_TAP2_2,RD_AER_URB,7,93,999,AT1,4114,2055, ,401,UC4114,BT20551,2_TAP2_1,ABCN,TAP2,12722,86,PD,19.0, ,UB
1,1_50,1_TAP2_2,RD_AER_URB,7,93,999,AT1,11033,7339, ,401,UC11033,BT73391,2_TAP2_1,ABN,TAP2,12722,93,PD,15.0, ,UB
2,1_58,1_TAP2_2,RD_AER_URB,7,93,999,AT1,11022,644, ,401,UC11022,BT6441,1_TAP2_1,AN,TAP2,12722,92,PD,13.5, ,UB
3,1_68,1_TAP2_2,RD_AER_URB,7,93,999,AT1,11037,2643, ,401,UC11037,BT26431,2_TAP2_1,BCN,TAP2,12722,93,PD,8.0, ,UB
4,1_156,1_TAP2_2,RD_AER_URB,7,93,999,AT1,11061,7419, ,401,UC11061,BT74191,1_TAP2_1,BN,TAP2,12722,92,PD,11.0, ,UB
5,1_156,1_TAP2_2,RD_AER_URB,7,93,999,AT1,10909,7442, ,401,UC10909,BT74421,1_TAP2_1,AN,TAP2,12722,92,PD,26.0, ,UB
6,1_156,1_TAP2_2,RD_AER_URB,7,93,999,AT1,10910,7439, ,401,UC10910,BT74391,1_TAP2_1,AN,TAP2,12722,92,PD,19.5, ,UB
7,1_29,1_TAP2_2,RD_AER_URB,7,93,999,AT1,10986,7543, ,401,UC10986,BT75431,1_TAP2_1,BCN,TAP2,12722,93,PD,15.0, ,UB
8,1_30,1_TAP2_2,RD_AER_URB,7,93,999,AT1,10971,2400, ,401,UC10971,BT24001,1_TAP2_1,BCN,TAP2,12722,93,PD,15.0, ,UB
9,1_72,1_TAP2_2,RD_AER_URB,7,93,999,AT1,6813,233, ,401,UC6813,BT2331,1_TAP2_1,CN,TAP2,12722,87,PD,16.0, ,UB
