,COD_ID,DIST,GEOM_CAB,FORM_CAB,MAT_FAS_1,MAT_FAS_2,MAT_FAS_3,MAT_NEU,ISO_FAS_1,ISO_FAS_2,ISO_FAS_3,ISO_NEU,CND_FAS,R1,X1,FTRCNV,CNOM,CMAX,CM_FAS,TUC_FAS,A1_FAS,A2_FAS,A3_FAS,A4_FAS,A5_FAS,A6_FAS,CM_NEU,TUC_NEU,A1_NEU,A2_NEU,A3_NEU,A4_NEU,A5_NEU,A6_NEU,DESCR,BIT_FAS_1,BIT_FAS_2,BIT_FAS_3,BIT_NEU,R_REGUL,UAR
0,1,401,7,1,6,0,0,6,12,0,0,12,1,0.975,0.4167,138.6,172.0,206.0,,190,02,03,01,02,01,00,,190,02,03,01,02,01,00, ,2,0,0,2,AL2AWG,190-01
1,2,401,7,1,6,6,0,6,12,12,0,12,1,1.551,0.4495,87.1,130.0,156.0,,190,02,03,01,04,01,00,,190,02,03,01,04,01,00, ,3,3,0,3,AL4AWG,190-01
2,3,401,3,1,6,6,6,0,12,12,12,0,1,0.195,0.2802,702.1,479.0,575.0,,190,02,03,01,23,01,00,,000,00,00,00,00,00,00, ,49,49,49,0,AL336_4AWG,190-01
3,4,401,7,1,5,5,0,5,12,12,0,12,1,0.613,0.3379,150.5,150.0,180.0,,190,02,02,01,11,01,00,,190,02,02,01,11,01,00, ,11,11,0,11,AL1_0AWG,190-01
4,8,401,7,1,5,5,5,5,12,12,12,12,1,0.975,0.3576,94.7,100.0,130.0,,190,02,02,01,02,01,00,,190,02,02,01,04,01,00, ,2,2,2,3,AL2AWG,190-01
5,12,401,7,1,10,10,10,10,12,12,12,12,1,0.62,0.468,311.1,140.0,180.0,,190,02,01,01,02,01,00,,190,02,01,01,06,01,00, ,2,2,2,4,CU2AWG,190-01
6,18,401,7,1,10,10,10,10,12,12,12,12,1,0.984,0.46,191.8,114.1,163.0,,190,02,01,01,04,01,00,,190,02,01,01,04,01,00, ,3,3,3,3,CU4AWG,190-01
7,23,401,7,1,10,10,10,10,12,12,12,12,1,0.984,0.46,191.8,114.1,163.0,,190,02,01,01,04,01,00,,190,02,01,01,06,01,00, ,3,3,3,4,CU4AWG,190-01
8,26,401,7,1,10,10,10,10,12,12,12,12,1,0.984,0.46,191.8,114.1,163.0,,190,02,01,01,04,01,00,,190,02,01,01,06,01,00, ,3,3,3,4,CU4AWG,190-01
9,27,401,7,1,6,0,0,6,12,0,0,12,1,1.551,0.4495,87.1,130.0,156.0,,190,02,03,01,04,01,00,,190,02,03,01,04,01,00, ,3,0,0,3,AL4AWG,190-01
